OFFENSE_CODE_GROUP,DISTRICT,REPORTING_AREA,YEAR,MONTH,DAY_OF_WEEK,HOUR,STREET
Property Related Damage,B2,327,2018,9,Monday,15,WAYLAND ST
Vandalism,C6,205,2018,8,Friday,17,A ST
Missing Person Reported,B2,265,2018,9,Monday,17,PERRIN ST
Investigate Person,E18,493,2018,9,Monday,15,LEXINGTON AVE
Larceny,D14,790,2018,9,Monday,6,CHESTNUT HILL AVE
Motor Vehicle Accident Response,, ,2018,9,Monday,16,
Robbery,, ,2018,9,Monday,15,
Fraud,D4,143,2018,9,Saturday,17,RING RD
Motor Vehicle Accident Response,B2,603,2018,9,Monday,15,TREMONT ST
Medical Assistance,E13,642,2018,9,Monday,16,CENTRE ST
Investigate Property,C11,403,2018,9,Monday,15,CROFTLAND AVE
Harassment,E18,547,2018,9,Monday,14,DEFOREST ST
Property Lost,D4,145,2018,8,Wednesday,14,HUNTINGTON AVE
Larceny,D4,138,2018,9,Monday,14,NEWBURY ST
Medical Assistance,B2,288,2018,9,Monday,15,ROXBURY ST
Simple Assault,C11,257,2018,9,Monday,15,EVERETT AVE
Simple Assault,E5,706,2018,9,Sunday,12,VERSHIRE ST
Investigate Person,E18,957,2018,9,Monday,14,CLIFFMONT ST
Medical Assistance,E18,498,2018,9,Monday,14,CLARE AVE
Drug Violation,C6,177,2018,9,Monday,11,MASSACHUSETTS AVE
Simple Assault,B3,469,2018,9,Monday,13,TENNIS RD
Larceny,C11,381,2018,9,Monday,14,GALLIVAN BLVD
Auto Theft,D4,154,2018,9,Monday,15,TREMONT ST
Motor Vehicle Accident Response,A1,84,2018,9,Monday,14,HANOVER ST
Medical Assistance,D14,776,2018,9,Monday,13,PRISCILLA RD
Fraud,D14,777,2018,8,Monday,12,SHEPARD ST
Other,A1,63,2018,9,Monday,14,MARTHA RD
Motor Vehicle Accident Response,, ,2018,9,Monday,14,
Larceny,D4,146,2018,9,Monday,14,HUNTINGTON AVE
Investigate Person,B3,449,2018,9,Monday,13,WHITFIELD ST
Verbal Disputes,B3,449,2018,9,Monday,13,WHITFIELD ST
Motor Vehicle Accident Response,, ,2018,9,Monday,14,
Property Lost,A1,77,2018,9,Monday,14,NEW SUDBURY ST
Larceny,D14,794,2018,8,Thursday,10,RADCLIFFE RD
Violations,D14,780,2018,9,Monday,14,FANEUIL ST
Motor Vehicle Accident Response,D14,780,2018,9,Monday,14,FANEUIL ST
Towed,C6,229,2018,9,Monday,13,E SIXTH ST
Fraud,D4,619,2018,9,Monday,14,SAINT STEPHEN ST
Other,B2,294,2018,9,Monday,13,AKRON ST
Drug Violation,B2,325,2018,9,Monday,13,WOODCLIFF ST
Drug Violation,B2,325,2018,9,Monday,13,WOODCLIFF ST
Larceny,D4,146,2018,9,Monday,10,HUNTINGTON AVE
Motor Vehicle Accident Response,A1,79,2018,9,Monday,13,ENDICOTT ST
Motor Vehicle Accident Response,C11,462,2018,9,Monday,14,ROSSETER ST
Medical Assistance,C11,398,2018,9,Monday,2,TALBOT AVE
Investigate Property,B2,237,2018,9,Monday,13,CAWFIELD ST
Larceny From Motor Vehicle,B2,330,2018,9,Monday,14,BLUE HILL AVE
Vandalism,C6,231,2018,9,Monday,13,E SEVENTH ST
Drug Violation,, ,2018,9,Monday,13,
Drug Violation,A1,111,2018,9,Monday,13,TEMPLE PL
Drug Violation,A1,119,2018,9,Monday,12,BEACON ST
Motor Vehicle Accident Response,D14,788,2018,8,Friday,12,SUTHERLAND RD
Verbal Disputes,C6,185,2018,9,Monday,12,MASSACHUSETTS AVE
Larceny,C6,185,2018,9,Monday,12,MASSACHUSETTS AVE
Aggravated Assault,E13,582,2018,9,Monday,12,CENTRE ST
Residential Burglary,D4,627,2018,9,Monday,3,PETERBOROUGH ST
Investigate Person,E18,525,2018,9,Monday,12,WOLCOTT ST
Medical Assistance,A7,12,2018,9,Monday,11,BENNINGTON ST
Motor Vehicle Accident Response,B2,605,2018,9,Monday,12,FISHER AVE
License Plate Related Incidents,B2,297,2018,9,Monday,9,KENSINGTON PARK
Other,E5,748,2018,9,Monday,12,KEANE RD
Aggravated Assault,C11,361,2018,9,Monday,12,DORCHESTER AVE
Firearm Violations,C11,361,2018,9,Monday,12,DORCHESTER AVE
Larceny,E5,564,2018,9,Sunday,21,ARCHDALE RD
Residential Burglary,D14,756,2018,9,Monday,11,CHAMPNEY ST
Vandalism,B3,463,2018,8,Friday,12,BLUE HILL AVE
Medical Assistance,A15,56,2018,9,Monday,11,HIGH ST
Motor Vehicle Accident Response,B2,326,2018,9,Sunday,19,LAWRENCE AVE
Other,B2,325,2018,9,Monday,11,BEAUFORD LN
Towed,, ,2018,9,Monday,11,CHELSEA
Harassment,C11,450,2018,9,Monday,11,WASHINGTON ST
Verbal Disputes,C11,341,2018,9,Monday,11,SPEEDWELL ST
Investigate Person,A1,61,2018,9,Monday,11,BEVERLY ST
Robbery,C11,362,2018,9,Sunday,20,LYNDHURST ST
Verbal Disputes,C11,332,2018,9,Monday,11,COLUMBIA RD
Medical Assistance,C11,344,2018,9,Monday,10,WESTVILLE TER
Larceny,D4,129,2018,9,Monday,11,BOYLSTON ST
Other,B2,325,2018,9,Monday,11,BEAUFORD LN
Motor Vehicle Accident Response,A1,101,2018,9,Monday,10,MILK ST
Investigate Property,B2,305,2018,9,Sunday,21,TOWNSEND ST
Towed,E18,499,2018,9,Monday,10,NAVARRE ST
Motor Vehicle Accident Response,A1,95,2018,9,Monday,11,ATLANTIC AVE
Motor Vehicle Accident Response,C11,416,2018,9,Sunday,15,FULLER ST
Verbal Disputes,B2,909,2018,9,Monday,10,WHITTIER ST
Property Found,B2,289,2018,9,Monday,10,TREMONT ST
Other Burglary,E18,495,2018,9,Monday,10,GREENWOOD AVE
Violations,E18,485,2018,8,Tuesday,0,RIVER ST
Medical Assistance,B3,449,2018,9,Monday,9,ASPINWALL RD
Aggravated Assault,B2,600,2018,9,Monday,10,HUNTINGTON AVE
Simple Assault,B2,600,2018,9,Monday,10,HUNTINGTON AVE
Disorderly Conduct,B2,600,2018,9,Monday,10,HUNTINGTON AVE
Other,B2,600,2018,9,Monday,10,HUNTINGTON AVE
Medical Assistance,B2,904,2018,9,Monday,9,WHEATLEY WAY
Larceny,C11,388,2018,8,Thursday,13,ADAMS ST
Towed,D14,794,2018,9,Monday,10,GREYLOCK RD
Investigate Person,C6,214,2018,9,Monday,9,W BROADWAY
Simple Assault,D4,167,2018,9,Monday,9,HARRISON AVE
Verbal Disputes,C11,342,2018,9,Monday,9,TOPLIFF ST
Fraud,D4,142,2018,9,Monday,9,NEWBURY ST
Property Lost,B2,265,2018,9,Monday,1,PERRIN ST
Investigate Person,D14,771,2018,8,Thursday,12,PEACEABLE ST
Property Lost,D4,165,2018,9,Monday,9,ALBANY ST
Auto Theft,D4,623,2018,9,Sunday,20,COMMONWEALTH AVE
Vandalism,D4,131,2018,9,Monday,5,BEACON ST
Investigate Person,B2,909,2018,9,Monday,8,RUGGLES ST
Vandalism,B3,437,2018,9,Monday,7,NORFOLK ST
Medical Assistance,E18,940,2018,9,Monday,7,GARFIELD AVE
Verbal Disputes,B2,263,2018,9,Monday,7,HUCKINS ST
Larceny From Motor Vehicle,E5,562,2018,9,Sunday,16,WASHINGTON ST
Investigate Person,B3,445,2018,9,Monday,7,GREENWOOD ST
Aggravated Assault,A15,50,2018,9,Monday,6,CAMBRIDGE ST
Disorderly Conduct,A15,50,2018,9,Monday,6,CAMBRIDGE ST
Motor Vehicle Accident Response,A15,50,2018,9,Monday,6,CAMBRIDGE ST
Verbal Disputes,B3,432,2018,9,Monday,6,MASCOT ST
Investigate Property,A1,120,2018,9,Monday,6,ARLINGTON ST
Investigate Person,E13,652,2018,8,Wednesday,10,ARBORWAY
Medical Assistance,A1,123,2018,9,Monday,4,HARVARD ST
Investigate Person,E18,480,2018,9,Monday,3,FAIRLAWN AVE
Vandalism,C11,462,2018,8,Friday,7,BULLARD ST
Robbery,D14,805,2018,9,Monday,3,PORTSMOUTH ST
Aggravated Assault,D14,805,2018,9,Monday,3,PORTSMOUTH ST
Fire Related Reports,B3,446,2018,9,Monday,1,NORWELL ST
Arson,B3,446,2018,9,Monday,1,NORWELL ST
Other,B3,446,2018,9,Monday,3,NORWELL ST
Verbal Disputes,D4,594,2018,9,Monday,2,HUNTINGTON AVE
Verbal Disputes,B3,472,2018,9,Monday,0,WOODHAVEN ST
Aggravated Assault,A1,111,2018,9,Monday,1,TREMONT ST
Investigate Person,D4,620,2018,9,Monday,2,BOYLSTON ST
Warrant Arrests,A1,121,2018,9,Monday,2,FAYETTE ST
Motor Vehicle Accident Response,A1,122,2018,9,Monday,1,TREMONT ST
Investigate Person,E18,512,2018,9,Monday,2,BEACON ST
Investigate Property,C11,823,2018,9,Monday,2,WHITBY TER
Verbal Disputes,B2,265,2018,9,Monday,1,WAVERLY ST
Simple Assault,D14,752,2018,9,Monday,2,WASHINGTON ST
Motor Vehicle Accident Response,, ,2018,9,Monday,2,
Verbal Disputes,B3,455,2018,9,Monday,2,LYNNVILLE TER
Medical Assistance,B2,276,2018,9,Monday,1,EUSTIS ST
Simple Assault,A1,93,2018,9,Monday,1,FANEUIL HALL MARKETPLACE
Aggravated Assault,C11,461,2018,9,Monday,1,BOWDOIN AVE
Other,E13,565,2018,9,Monday,0,AMERICAN LEGION HWY
Towed,E13,565,2018,9,Monday,0,AMERICAN LEGION HWY
Simple Assault,, ,2018,9,Monday,1,
Motor Vehicle Accident Response,A7,902,2018,9,Monday,0,SUMNER ST
Investigate Property,D4,157,2018,9,Monday,1,SHAWMUT AVE
Verbal Disputes,C11,398,2018,9,Sunday,0,TALBOT AVE
Simple Assault,C11,366,2018,9,Sunday,23,DAWSON ST
Simple Assault,C11,352,2018,9,Sunday,23,DITSON ST
Simple Assault,D4,166,2018,9,Monday,0,SHAWMUT AVE
Larceny,D14,782,2018,9,Sunday,23,GORDON ST
Residential Burglary,C11,402,2018,9,Sunday,23,BURT ST
Restraining Order Violations,C11,402,2018,9,Sunday,23,BURT ST
Motor Vehicle Accident Response,A1,128,2018,9,Sunday,23,COLUMBUS AVE
Simple Assault,D4,624,2018,9,Sunday,23,JERSEY ST
Vandalism,C11,254,2018,9,Sunday,23,DORCHESTER AVE
Larceny,C6,186,2018,9,Sunday,22,ALLSTATE RD
Simple Assault,C11,244,2018,9,Sunday,23,TAFT ST
Larceny,D4,623,2018,9,Sunday,22,COMMONWEALTH AVE
Medical Assistance,E18,519,2018,9,Sunday,22,HARVARD AVE
Investigate Person,E18,482,2018,9,Sunday,22,MALTA ST
Investigate Property,B3,425,2018,9,Sunday,22,BLUE HILL AVE
Medical Assistance,A7,20,2018,9,Sunday,22,CHELSEA ST
Investigate Property,B3,421,2018,9,Sunday,22,W SELDEN ST
Aggravated Assault,E13,572,2018,9,Sunday,21,COLUMBUS AVE
Disorderly Conduct,A1,117,2018,9,Sunday,22,BOYLSTON ST
Other,A1,117,2018,9,Sunday,22,BOYLSTON ST
Verbal Disputes,B2,586,2018,9,Sunday,22,HILLSIDE ST
Aggravated Assault,C11,348,2018,9,Sunday,22,DORCHESTER AVE
Medical Assistance,E13,639,2018,9,Sunday,21,ROBINWOOD AVE
Motor Vehicle Accident Response,A1,113,2018,9,Sunday,21,SUMMER ST
Investigate Person,B2,304,2018,9,Sunday,22,SLAYTON WAY
Vandalism,C6,232,2018,9,Sunday,21,P ST
Bomb Hoax,C6,232,2018,9,Sunday,21,P ST
Fire Related Reports,C11,379,2018,9,Sunday,21,ADAMS ST
Violations,, ,2018,9,Sunday,22,
Motor Vehicle Accident Response,, ,2018,9,Sunday,22,
Investigate Person,D4,138,2018,9,Sunday,22,BOYLSTON ST
Motor Vehicle Accident Response,, ,2018,9,Sunday,21,
Missing Person Reported,C11,335,2018,9,Sunday,20,COLEMAN ST
Medical Assistance,C11,235,2018,9,Sunday,21,CARSON ST
Aggravated Assault,B2,291,2018,9,Sunday,21,CENTRE ST
Simple Assault,B2,291,2018,9,Sunday,21,CENTRE ST
Simple Assault,E18,490,2018,9,Sunday,20,AMERICAN LEGION HWY
Other,C6,222,2018,9,Sunday,21,E BROADWAY
Property Found,D14,778,2018,9,Sunday,21,WASHINGTON ST
Larceny,B3,428,2018,9,Sunday,21,MORTON ST
Simple Assault,C11,359,2018,9,Sunday,20,WASHINGTON ST
Motor Vehicle Accident Response,B3,441,2018,9,Sunday,20,TALBOT AVE
Motor Vehicle Accident Response,B2,311,2018,9,Sunday,20,MARTIN LUTHER KING JR BLV
Verbal Disputes,B3,448,2018,9,Sunday,20,PARK ST
Motor Vehicle Accident Response,D14,777,2018,9,Sunday,18,WASHINGTON ST
Verbal Disputes,E18,530,2018,9,Sunday,20,READVILLE ST
Vandalism,E13,906,2018,9,Sunday,20,HORAN WAY
Larceny,C11,247,2018,9,Sunday,19,DORCHESTER AVE
License Plate Related Incidents,A1,127,2018,9,Sunday,19,TREMONT ST
Larceny From Motor Vehicle,A1,127,2018,8,Tuesday,20,TREMONT ST
Harbor Related Incidents,, ,2018,9,Sunday,19,ROWES
Simple Assault,A1,102,2018,9,Sunday,20,TREMONT ST
Motor Vehicle Accident Response,C6,206,2018,9,Sunday,20,SEAPORT BLVD
Medical Assistance,B2,319,2018,9,Sunday,19,NAZING CT
Verbal Disputes,C6,185,2018,9,Sunday,19,MASSACHUSETTS AVE
Property Lost,D14,796,2018,8,Friday,22,LINDEN ST
Other,D4,624,2018,9,Sunday,19,BROOKLINE AVE
Aggravated Assault,D4,624,2018,9,Sunday,19,BROOKLINE AVE
Disorderly Conduct,D4,624,2018,9,Sunday,19,BROOKLINE AVE
Medical Assistance,C11,335,2018,9,Sunday,19,BARRY ST
Harassment,C6,223,2018,9,Sunday,19,O ST
Motor Vehicle Accident Response,B2,266,2018,8,Friday,20,FAIRLAND ST
Drug Violation,A7,27,2018,9,Sunday,18,SUMNER ST
Motor Vehicle Accident Response,, ,2018,9,Saturday,20,
Medical Assistance,B2,315,2018,9,Sunday,19,WAUMBECK ST
Larceny From Motor Vehicle,D14,794,2018,9,Saturday,16,GLENVILLE AVE
Larceny From Motor Vehicle,B2,268,2018,9,Sunday,18,ADAMS ST
Vandalism,B2,268,2018,9,Sunday,18,ADAMS ST
Disorderly Conduct,, ,2018,9,Sunday,18,
Fire Related Reports,C11,361,2018,9,Sunday,18,CENTRE ST
Motor Vehicle Accident Response,D4,627,2018,9,Sunday,18,BOYLSTON ST
Robbery,A7,23,2018,9,Sunday,18,MARION ST
Medical Assistance,B3,447,2018,9,Sunday,18,MILLET ST
Simple Assault,D4,157,2018,9,Sunday,18,SAN JUAN ST
Restraining Order Violations,D4,157,2018,9,Sunday,18,SAN JUAN ST
Simple Assault,E13,906,2018,9,Sunday,18,WALDEN ST
Motor Vehicle Accident Response,E13,583,2018,9,Sunday,17,DAY ST
Investigate Property,B3,437,2018,9,Sunday,18,NORFOLK ST
Drug Violation,E18,519,2018,9,Sunday,18,SECOND NEW WAY
Drug Violation,E18,519,2018,9,Sunday,18,SECOND NEW WAY
Drug Violation,E18,519,2018,9,Sunday,18,SECOND NEW WAY
Medical Assistance,B2,180,2018,9,Sunday,17,GEORGE ST
Motor Vehicle Accident Response,B2,297,2018,9,Sunday,18,WALNUT AVE
Investigate Person,, ,2018,9,Sunday,17,
Medical Assistance,E18,495,2018,9,Sunday,17,HYDE PARK AVE
Auto Theft,B3,449,2018,9,Sunday,18,SPENCER ST
Motor Vehicle Accident Response,A1,80,2018,9,Sunday,3,HULL ST
Larceny,, ,2018,9,Sunday,17,
Vandalism,, ,2018,9,Sunday,17,
Larceny,E18,519,2018,8,Friday,0,WALTER ST
Vandalism,C11,416,2018,9,Sunday,16,WASHINGTON ST
Towed,D14,793,2018,9,Sunday,17,COMMONWEALTH AVE
Simple Assault,C11,351,2018,9,Sunday,17,DORCHESTER AVE
Larceny,A1,103,2018,9,Sunday,16,WASHINGTON ST
Investigate Property,E18,516,2018,9,Sunday,17,DANA AVE
Investigate Property,B2,319,2018,9,Sunday,16,BLUE HILL AVE
Investigate Property,E13,578,2018,9,Sunday,16,CENTRE ST
Robbery,A15,60,2018,9,Sunday,17,RUTHERFORD AVE
Medical Assistance,B2,282,2018,9,Sunday,17,WASHINGTON ST
Larceny,C6,216,2018,9,Sunday,17,F ST
Other,B3,439,2018,9,Sunday,17,STRATTON ST
Verbal Disputes,B3,439,2018,9,Sunday,17,STRATTON ST
Medical Assistance,C11,364,2018,9,Sunday,5,LESLIE ST
Vandalism,E13,572,2018,9,Saturday,14,COLUMBUS AVE
Vandalism,B3,441,2018,9,Sunday,17,HARVARD ST
Robbery,, ,2018,9,Sunday,2,
Investigate Person,C11,342,2018,9,Sunday,16,TOPLIFF ST
Investigate Property,D4,619,2018,9,Saturday,14,SYMPHONY RD
Motor Vehicle Accident Response,A15,38,2018,9,Sunday,11,FIRST AVE
Medical Assistance,E18,542,2018,9,Sunday,16,RIVER ST
Motor Vehicle Accident Response,B2,318,2018,9,Sunday,16,ELM HILL AVE
Property Lost,B2,329,2018,9,Sunday,0,STANWOOD ST
Larceny,D4,138,2018,9,Saturday,14,BOYLSTON ST
Investigate Person,A1,77,2018,9,Sunday,16,NEW SUDBURY ST
Larceny,C11,337,2018,8,Saturday,9,PURITAN AVE
Simple Assault,, ,2018,9,Sunday,15,
Aggravated Assault,, ,2018,9,Sunday,15,
Verbal Disputes,B3,469,2018,9,Sunday,14,MATTAPAN ST
Towed,D14,816,2018,9,Sunday,14,ROYAL ST
Medical Assistance,C11,354,2018,9,Sunday,14,NEPONSET AVE
Residential Burglary,B2,317,2018,9,Sunday,14,HOMESTEAD ST
Verbal Disputes,C11,394,2018,9,Sunday,14,GALLIVAN BLVD
Counterfeiting,C11,402,2018,9,Sunday,14,DORCHESTER AVE
Other,E18,496,2018,9,Sunday,15,HYDE PARK AVE
Violations,, ,2018,9,Sunday,14,
Larceny,D4,146,2018,9,Sunday,14,HUNTINGTON AVE
Drug Violation,B3,467,2018,9,Sunday,14,GILMER ST
Motor Vehicle Accident Response,D4,598,2018,9,Sunday,14,HAVILAND ST
Auto Theft,D4,135,2018,9,Saturday,23,BEACON ST
Towed,C6,200,2018,9,Sunday,13,W BROADWAY
Medical Assistance,B3,438,2018,9,Sunday,13,TALBOT AVE
Property Lost,C11,341,2018,9,Saturday,18,BOWDOIN ST
Motor Vehicle Accident Response,E13,608,2018,9,Sunday,11,S HUNTINGTON AVE
Simple Assault,B2,281,2018,9,Sunday,13,GREENVILLE ST
Other,E13,579,2018,9,Sunday,13,CENTRE ST
Disorderly Conduct,A1,101,2018,9,Sunday,13,MCKINLEY SQ
Disorderly Conduct,A1,101,2018,9,Sunday,13,MCKINLEY SQ
Missing Person Reported,C11,348,2018,9,Sunday,12,DORCHESTER AVE
Harassment,D14,938,2018,6,Friday,0,FIDELIS WAY
Larceny,A1,102,2018,9,Sunday,13,WINTER ST
Vandalism,B2,318,2018,9,Saturday,23,SEAVER ST
Missing Person Reported,C11,345,2018,9,Sunday,12,RIDGEWOOD ST
Verbal Disputes,C11,358,2018,9,Sunday,12,GREENBRIER ST
Robbery,B2,282,2018,9,Sunday,7,WARREN ST
Aggravated Assault,B2,282,2018,9,Sunday,7,WARREN ST
Disorderly Conduct,C11,335,2018,9,Sunday,12,BOWDOIN ST
Verbal Disputes,A7,12,2018,9,Sunday,12,BENNINGTON ST
Aggravated Assault,C11,347,2018,9,Sunday,12,ADAMS ST
Property Lost,D4,144,2018,8,Wednesday,17,MASSACHUSETTS AVE
Larceny,C11,398,2018,8,Friday,23,WELLES AVE
Motor Vehicle Accident Response,D14,796,2018,9,Sunday,13,COMMONWEALTH AVE
Motor Vehicle Accident Response,B3,445,2018,9,Sunday,12,GLENWAY ST
Liquor Violation,B2,288,2018,9,Sunday,13,WASHINGTON ST
Property Lost,B3,565,2018,9,Sunday,12,HARVARD ST
Investigate Person,E18,487,2018,9,Sunday,11,BLAKE ST
Property Lost,E18,487,2018,9,Sunday,12,WINBOROUGH ST
Vandalism,C6,214,2018,7,Monday,12,W FIFTH ST
Medical Assistance,C11,366,2018,9,Sunday,12,TEMPLETON WAY
Larceny,E5,727,2018,9,Sunday,11,VFW PKWY
Motor Vehicle Accident Response,D14,814,2018,9,Sunday,11,WESTERN AVE
Investigate Person,C11,378,2018,9,Sunday,12,PIERCE AVE
Motor Vehicle Accident Response,A15,52,2018,9,Sunday,11,RUTHERFORD AVE
Motor Vehicle Accident Response,D4,162,2018,9,Sunday,11,HARRISON AVE
Verbal Disputes,B2,326,2018,9,Sunday,11,LAWRENCE AVE
Motor Vehicle Accident Response,C6,226,2018,9,Sunday,12,E BROADWAY
Larceny,C11,397,2018,9,Sunday,11,TALBOT AVE
Motor Vehicle Accident Response,B2,276,2018,9,Sunday,2,WILLIAMS ST
Motor Vehicle Accident Response,E5,724,2018,9,Sunday,11,LAURIE AVE
Larceny,E18,525,2018,9,Sunday,10,TRUMAN PKWY
Larceny,E18,495,2018,9,Sunday,10,HYDE PARK AVE
Larceny,D4,138,2018,9,Saturday,20,BOYLSTON ST
Motor Vehicle Accident Response,, ,2018,9,Sunday,11,
Other,A1,76,2018,9,Sunday,11,CANAL ST
Investigate Property,A7,824,2018,9,Sunday,11,PUTNAM ST
Property Lost,D14,796,2018,9,Saturday,21,HARVARD AVE
Motor Vehicle Accident Response,B2,605,2018,8,Friday,22,HUNTINGTON AVE
Property Lost,C11,380,2018,9,Sunday,11,GALLIVAN BLVD
Medical Assistance,C11,344,2018,9,Sunday,10,CORONA ST
Towed,C11,240,2018,9,Sunday,9,ANNABEL ST
Vandalism,E18,543,2018,9,Sunday,9,RIVER ST
Investigate Person,A1,95,2018,9,Saturday,14,ATLANTIC AVE
Motor Vehicle Accident Response,C11,235,2018,9,Saturday,9,CRESCENT AVE
Investigate Person,D14,778,2018,9,Sunday,9,WASHINGTON ST
Towed,D4,285,2018,9,Sunday,7,HAMMOND ST
Robbery,B2,177,2018,9,Saturday,19,
Motor Vehicle Accident Response,C11,378,2018,9,Sunday,0,CHICKATAWBUT ST
Larceny,C6,186,2018,9,Sunday,9,ALLSTATE RD
Towed,A1,83,2018,9,Sunday,7,HENCHMAN ST
Vandalism,C6,233,2018,9,Sunday,4,E EIGHTH ST
Larceny,B2,318,2018,9,Sunday,0,SEAVER ST
Vandalism,B2,318,2018,9,Sunday,0,SEAVER ST
Verbal Disputes,B3,420,2018,9,Sunday,8,W SELDEN ST
Medical Assistance,C6,194,2018,9,Sunday,8,DORCHESTER AVE
Towed,D14,801,2018,9,Sunday,7,FARRINGTON AVE
Larceny,C11,401,2018,9,Saturday,18,TALBOT AVE
Larceny,D4,619,2018,9,Sunday,7,HUNTINGTON AVE
Medical Assistance,D14,790,2018,9,Sunday,7,ORKNEY RD
Medical Assistance,D14,761,2018,9,Sunday,7,BROCK ST
Medical Assistance,C11,336,2018,9,Sunday,5,BLAKEVILLE ST
Vandalism,C11,451,2018,9,Sunday,6,WASHINGTON ST
Vandalism,E5,674,2018,9,Sunday,6,SOUTH ST
Motor Vehicle Accident Response,, ,2018,9,Sunday,5,
Other,C6,914,2018,9,Sunday,5,DR. MICHAEL GAVIN WAY
Aggravated Assault,C6, ,2018,9,Sunday,5,
Investigate Person,C11,341,2018,9,Sunday,4,NORTON ST
Larceny,D14,795,2018,9,Sunday,3,CAMBRIDGE ST
Simple Assault,D14,795,2018,9,Sunday,3,CAMBRIDGE ST
Motor Vehicle Accident Response,, ,2018,9,Sunday,3,
Medical Assistance,B2,321,2018,9,Sunday,2,INTERVALE ST
Investigate Property,E13,916,2018,9,Sunday,3,PARKER ST
Robbery,A1,92,2018,9,Sunday,3,COURT ST
Motor Vehicle Accident Response,, ,2018,9,Sunday,3,
Investigate Person,B3,452,2018,9,Sunday,3,MERLIN ST
Other,C6,174,2018,9,Saturday,23,DORCHESTER AVE
Verbal Disputes,B3,463,2018,9,Sunday,3,HARVARD ST
Investigate Person,C11,243,2018,9,Sunday,2,PLEASANT ST
